x,y,yaw,gtx,gty,gtyaw,time1,time2,xmd,ymd,yawmd,xdopp,ydopp,yawdopp
0.00321835,0.000779219,4.81158e-05,0.001167,-0.0001,-1.2e-05,1547131014603839,1547131014857246,0.00327357,0.000768169,4.82559e-05,0.00327349,0.000768191,4.82565e-05
-0.00217094,-0.00163658,-1.71108e-05,0.000985,0.00029,-0,1547131014857246,1547131015109865,-0.00217493,-0.00162693,-1.72672e-05,-0.00217493,-0.00162686,-1.72667e-05
3.13733e-05,0.00150859,1.88705e-05,0.001502,0.000346,-2e-05,1547131015109865,1547131015360474,1.81158e-05,0.001502,1.87231e-05,1.81158e-05,0.001502,1.87231e-05
-0.000430755,0.00608522,5.78004e-05,-0.0022,-0.001113,0.000119,1547131015360474,1547131015608777,0.00537332,0.00555459,7.36118e-05,0.00537324,0.0055546,7.36107e-05
0.00240302,-0.00233113,-1.30375e-06,-0.000965,0.000399,-1.6e-05,1547131015608777,1547131015855880,0.00239682,-0.00232427,-1.39593e-06,0.00239678,-0.00232433,-1.39647e-06
0.00384447,0.00445694,6.3812e-05,0.00053,0.000379,-6.2e-05,1547131015855880,1547131016102906,0.00367062,0.00374607,5.81617e-05,0.00367063,0.00374605,5.81615e-05
-0.000811203,-0.000401701,1.58147e-05,0.001232,-0.000743,-1e-05,1547131016102906,1547131016349600,-0.000806377,-0.000407264,1.56791e-05,-0.000806371,-0.000407279,1.56793e-05
-0.0034073,3.6145e-05,-1.15987e-05,-0.000251,0.000221,8e-06,1547131016349600,1547131016598174,-0.00342272,3.08167e-05,-1.16465e-05,-0.00342261,3.07026e-05,-1.16462e-05
0.0137161,-0.0061603,-2.95843e-05,0.000451,8e-06,7e-06,1547131016598174,1547131016848022,0.0139928,-0.0069343,-4.30036e-05,0.0139933,-0.00693365,-4.30054e-05
0.00540109,-0.00321699,-2.45721e-05,0.000355,0.000236,5e-06,1547131016848022,1547131017098615,0.00541019,-0.00322264,-2.46684e-05,0.00541045,-0.00322246,-2.46668e-05
0.000209063,-0.00136365,-1.68533e-05,0.000181,0.000335,-8e-06,1547131017098615,1547131017348496,0.00019668,-0.00135743,-1.72573e-05,0.00019668,-0.00135743,-1.72573e-05
0.00297056,0.00208552,-3.87156e-05,5.5e-05,7.9e-05,-3e-06,1547131017348496,1547131017598040,0.00295053,0.00207823,-3.89512e-05,0.0029506,0.00207822,-3.89497e-05
-0.00212222,-0.0011807,8.71798e-07,-0.00128,-0.000985,6.2e-05,1547131017598040,1547131017847537,-0.00231381,-0.000923947,4.6417e-06,-0.00231378,-0.00092394,4.64194e-06
3.2752e-05,0.000609852,-7.61167e-06,0.000545,0.000728,-6.4e-05,1547131017847537,1547131018096426,2.51377e-05,0.000609624,-7.66822e-06,2.51377e-05,0.000609624,-7.66822e-06
0.00929034,-0.00461995,2.43077e-05,0.000946,0.000593,-5.4e-05,1547131018096426,1547131018345382,0.00922079,0.00134157,8.89712e-05,0.00922042,0.00134171,8.89723e-05
-0.00725342,0.0018972,4.42743e-05,0.000388,4.7e-05,-1.4e-05,1547131018345382,1547131018594065,-0.00723908,0.00189713,4.4182e-05,-0.00723911,0.00189702,4.41815e-05
0.00642279,0.0200456,0.000235015,-0.001752,-0.000382,6e-06,1547131018594065,1547131018844707,0.00651093,0.0201304,0.000236488,0.00651064,0.0201303,0.000236488
-0.0043389,-0.0108765,-0.000146524,-0.000856,-0.000642,9.6e-05,1547131018844707,1547131019095842,-0.00429589,-0.0108909,-0.000146708,-0.00429573,-0.0108908,-0.000146708
0.00534708,0.0030713,9.94049e-05,0.002664,0.000552,-1.9e-05,1547131019095842,1547131019345662,0.0053574,0.0029966,9.84635e-05,0.00535746,0.00299648,9.84636e-05
-0.00711255,0.00591294,6.03112e-05,0.001905,0.000486,-7.7e-05,1547131019345662,1547131019595716,-0.00787572,0.00512421,4.34194e-05,-0.00787618,0.00512372,4.34143e-05
0.000785966,-0.000221954,-1.61333e-05,-0.000377,0.000228,-5.7e-05,1547131019595716,1547131019846246,0.000794383,-0.000214756,-1.62042e-05,0.000794383,-0.000214756,-1.62042e-05
0.00264161,-0.00377042,-3.92642e-05,-0.002201,2.3e-05,1e-06,1547131019846246,1547131020098930,0.000623787,-0.000281836,-1.91739e-05,0.000623787,-0.000281836,-1.91739e-05
0.000439138,-0.00632246,-8.9941e-05,0.000826,-0.000183,-1.4e-05,1547131020098930,1547131020351409,0.000439726,-0.00630686,-8.99722e-05,0.000439732,-0.00630685,-8.99724e-05
-0.00563311,0.0027783,-1.6031e-06,0.001082,0.000227,-3.2e-05,1547131020351409,1547131020604107,0.00368689,0.00340896,8.243e-06,0.00368685,0.00340899,8.2429e-06
-0.00356401,-0.00386713,-5.2391e-05,-0.00369,-0.000826,0.000146,1547131020604107,1547131020855517,-0.00355245,-0.00385772,-5.2384e-05,-0.00355241,-0.00385769,-5.23842e-05
-0.00483086,0.0014261,2.53232e-05,-0.003339,-0.001005,0.00014,1547131020855517,1547131021104602,-0.00481004,0.00142399,2.49286e-05,-0.00481002,0.0014239,2.49274e-05
0.00404107,-0.00043399,-3.49978e-05,0.000598,-0.000407,2.5e-05,1547131021104602,1547131021352482,0.00404543,-0.000427112,-3.49842e-05,0.00404546,-0.000427044,-3.49827e-05
-0.0018262,0.00168067,-9.33065e-06,0.001981,0.000616,-4.9e-05,1547131021352482,1547131021600519,-0.00181556,0.00168028,-9.47093e-06,-0.00181555,0.00168029,-9.47061e-06
-0.00746603,-0.000876967,-1.06582e-05,0.003922,0.001866,-0.000178,1547131021600519,1547131021848239,-0.00746596,-0.000875648,-1.06475e-05,-0.00746603,-0.00087573,-1.06499e-05
0.00194393,0.000150256,-3.82717e-05,0.000553,-0.000285,-7e-06,1547131021848239,1547131022096296,0.00237227,-8.57736e-05,-4.55579e-05,0.00237225,-8.57555e-05,-4.55581e-05
-0.00291663,-0.00678536,-5.03215e-05,-0.000924,-0.001076,8.2e-05,1547131022096296,1547131022345409,-0.00267535,-0.0063905,-4.8292e-05,-0.00267538,-0.0063905,-4.82918e-05
-0.00350384,0.00326979,2.45975e-05,3.4e-05,-0.000128,4.7e-05,1547131022345409,1547131022595436,-0.00347487,0.00327758,2.44984e-05,-0.00347492,0.00327748,2.44982e-05
0.00344994,0.00099313,-6.40972e-06,-0.001745,-0.000176,2.4e-05,1547131022595436,1547131022845453,0.00344325,0.00098018,-6.5776e-06,0.00344331,0.000980216,-6.57738e-06
-0.00176608,-0.00308522,1.34781e-05,-0.000973,-0.000339,1.1e-05,1547131022845453,1547131023094610,-0.00176272,-0.00308849,1.32419e-05,-0.00176269,-0.00308854,1.32418e-05
0.0059408,0.00100611,-1.26805e-05,5.2e-05,0.000106,-2.1e-05,1547131023094610,1547131023343773,0.00594268,0.00100919,-1.26803e-05,0.00594269,0.00100926,-1.2681e-05
-0.00221252,0.000460664,8.63269e-07,0.000718,0.00036,-4.6e-05,1547131023343773,1547131023592949,-0.00219682,0.000462263,6.101e-07,-0.00219687,0.00046229,6.10269e-07
-0.00765954,-0.00275192,1.87641e-05,0.000483,8.1e-05,-3.8e-05,1547131023592949,1547131023843733,-0.00786264,-0.00248435,1.89966e-05,-0.00786277,-0.00248432,1.89967e-05
-0.00369299,0.00168999,1.07369e-05,-0.000962,-0.00156,8.1e-05,1547131023843733,1547131024095183,-0.00330606,0.00150288,1.80597e-05,-0.0033062,0.00150278,1.80602e-05
-0.000976883,0.000160992,-3.21317e-05,-0.001094,0.000401,4.4e-05,1547131024095183,1547131024345549,-0.00097609,0.000162657,-3.22702e-05,-0.00097609,0.000162657,-3.22702e-05
-0.00533748,-0.00348809,-3.52194e-05,-0.000201,0.000306,9e-06,1547131024345549,1547131024595871,-0.00794691,-0.00427586,-6.77507e-05,-0.0079468,-0.00427574,-6.77486e-05
-0.000831523,0.00206835,1.94184e-05,0.001156,0.000472,-4e-05,1547131024595871,1547131024846063,-0.000520647,0.000692703,1.4161e-06,-0.000520647,0.000692703,1.4161e-06
-0.00597443,-0.00272319,-4.04625e-05,0.002169,0.000945,-6.6e-05,1547131024846063,1547131025098573,-0.00573197,-0.00258409,-4.56788e-05,-0.0060172,-0.00273381,-4.06184e-05
-0.00312235,-0.00146681,6.68041e-06,0.002207,-6.8e-05,4.4e-05,1547131025098573,1547131025351459,-0.00312856,-0.00146022,6.55677e-06,-0.00312856,-0.00146024,6.55656e-06
-0.0124333,-0.00262974,3.26871e-05,-0.002362,-0.00064,2.2e-05,1547131025351459,1547131025604167,-0.0124325,-0.00263614,3.22691e-05,-0.0124327,-0.00263636,3.22743e-05
0.000245965,0.00250794,2.37727e-05,-0.00166,-0.000242,1.8e-05,1547131025604167,1547131025855398,0.000239995,0.00250516,2.35948e-05,0.000239993,0.00250516,2.35948e-05
-0.00438676,-0.00278842,-2.95532e-05,0.000943,0.000342,-1.6e-05,1547131025855398,1547131026104927,-0.00434563,-0.0027631,-2.91081e-05,-0.00434569,-0.00276329,-2.91093e-05
0.000482936,-0.00185817,-2.43229e-06,0.002625,0.000625,-4.9e-05,1547131026104927,1547131026352674,0.000520729,-0.00185812,-2.30479e-06,0.000520729,-0.00185812,-2.30479e-06
-0.0012183,0.000959867,-1.28948e-05,-0.003744,-0.00067,3.7e-05,1547131026352674,1547131026600528,-0.00121117,0.000963585,-1.30169e-05,-0.00121118,0.000963582,-1.30168e-05
0.00207922,-0.00403202,-2.75471e-05,-9.9e-05,-0.000222,1e-05,1547131026600528,1547131026848010,0.00214647,-0.00164669,-3.01051e-05,0.00214652,-0.00164667,-3.01044e-05
-0.00614225,0.000975165,-4.2076e-07,0.00023,-7.3e-05,8e-06,1547131026848010,1547131027095826,-0.00612232,0.00099294,-3.37222e-07,-0.00612237,0.000992634,-3.37966e-07
-0.000739517,0.000747509,-8.07044e-06,5.7e-05,0.000167,-2.3e-05,1547131027095826,1547131027345389,-0.00074672,0.000751441,-8.51579e-06,-0.000746699,0.000751437,-8.51564e-06
-0.00502086,-0.00179749,-2.49139e-05,0.000682,0.000331,-5.8e-05,1547131027345389,1547131027594956,-0.00504507,-0.00178894,-2.51896e-05,-0.00504533,-0.00178854,-2.519e-05
-0.00218425,-0.000146893,-6.02669e-06,0.001241,0.000501,4.7e-05,1547131027594956,1547131027844980,-0.00219742,-0.000148632,-6.21019e-06,-0.0021974,-0.000148608,-6.21024e-06
-0.000761792,-0.00253413,-6.62116e-05,0.005106,-0.001467,-8e-06,1547131027844980,1547131028094604,-0.000774038,-0.00254307,-6.63924e-05,-0.000774006,-0.00254304,-6.63924e-05
-0.00359252,-0.00150981,4.85718e-06,0.026677,-0.001028,-7.7e-05,1547131028094604,1547131028343236,-0.00358871,-0.00150883,4.64767e-06,-0.00358885,-0.00150869,4.64727e-06
0.00238765,0.00634408,-8.14674e-06,0.048349,0.00021,-0.000128,1547131028343236,1547131028592044,0.00235602,0.00633837,-9.22557e-06,0.00235589,0.00633866,-9.22319e-06
0.0606737,-0.0248139,4.69527e-05,0.118665,0.000419,0.000438,1547131028592044,1547131028842224,0.057421,-0.0283235,5.12968e-05,0.0631333,-0.0241597,3.79497e-05
0.0802515,-0.00276364,0.000450288,0.17716,0.001567,0.001935,1547131028842224,1547131029092338,0.080181,-0.00271426,0.000450049,0.0801859,-0.00269554,0.00045025
0.16967,0.00460686,0.00120483,0.276123,0.002716,0.006746,1547131029092338,1547131029342119,0.17389,0.00420502,0.00122545,0.17392,0.00423508,0.0012259
0.268028,-0.00963266,0.00244836,0.362744,0.009292,0.00965,1547131029342119,1547131029592059,0.270827,-0.0113042,0.002447,0.270889,-0.0113789,0.00244761
0.382793,0.00817484,0.0142825,0.468315,0.009203,0.012586,1547131029592059,1547131029841864,0.387774,0.00220036,0.0143761,0.388617,0.0012898,0.0143953
0.47222,-0.00198037,0.0154714,0.574353,0.009468,0.015596,1547131029841864,1547131030091639,0.492493,-0.0109101,0.0151992,0.472672,-0.00100814,0.0154804
0.519758,-0.0156917,0.0165155,0.6927,0.019974,0.016607,1547131030091639,1547131030341507,0.523363,-0.0166874,0.0166231,0.523096,-0.0163482,0.016634
0.664087,0.0274055,0.0174897,0.814266,0.00666,0.019814,1547131030341507,1547131030591586,0.664593,0.025514,0.0175213,0.662093,0.0234632,0.0174959
0.72322,-0.0105672,0.0187011,0.94125,0.007062,0.018218,1547131030591586,1547131030840280,0.719355,-0.00971665,0.0186447,0.72035,-0.0131073,0.0186259
0.895096,0.0282375,0.0184966,1.06167,0.004587,0.011127,1547131030840280,1547131031091784,0.91451,0.00978617,0.0182449,0.914771,0.0114978,0.0182613
0.998534,-0.00796339,0.0110845,1.16017,0.008427,0.008725,1547131031091784,1547131031344392,1.01542,-0.0168465,0.0111885,1.01551,-0.0137756,0.0112599
1.11888,-0.00734114,0.00566138,1.29048,0.004837,0.002303,1547131031344392,1547131031594895,1.12539,-0.00990122,0.00573008,1.12546,-0.00833744,0.00577864
1.25672,0.00900842,0.00142123,1.43925,-0.015905,0.000868,1547131031594895,1547131031846839,1.27942,0.00781097,0.00157028,1.27507,0.00685887,0.00164844
1.38539,-0.0346381,0.00258358,1.54539,-0.019522,-0.002565,1547131031846839,1547131032097829,1.40105,-0.0518925,0.00168333,1.39094,-0.0546899,0.00127353
1.50511,0.0249224,-0.00235901,1.68957,-0.017122,-0.004383,1547131032097829,1547131032347703,1.47866,0.00633893,-0.00279305,1.48271,0.0174443,-0.00233585
